epoch,train_loss,val_loss,lr
1,0.2836660423449108,46.42544174194336,0.001
2,0.17306261892829622,30.72537612915039,0.001
3,0.15854787496583803,27.882568359375,0.001
4,0.14970635777073246,29.319812774658203,0.001
5,0.1382974900305271,24.97882652282715,0.001
6,0.13791296263890607,26.066495895385742,0.001
7,0.13278541112584727,24.369306564331055,0.001
8,0.12522213698497842,26.361421585083008,0.001
9,0.12418704527829375,26.624555587768555,0.001
10,0.11981338959719454,25.71407699584961,0.001
11,0.12136698107102088,22.472713470458984,0.001
12,0.11397840074662652,25.592130661010742,0.001
13,0.11669937962932246,25.955339431762695,0.001
14,0.11591677522020681,22.558700561523438,0.001
15,0.11504091484738248,27.18990135192871,0.001
16,0.11213707059089627,25.563753128051758,0.001
17,0.11034301311842033,25.305557250976562,0.001
18,0.1118211496089186,24.97720718383789,0.001
19,0.10810291543602943,23.771968841552734,0.001
20,0.10738137731594699,22.295978546142578,0.001
21,0.10802540781774692,23.22171401977539,0.001
22,0.10581194114472185,24.36617660522461,0.001
23,0.10221019192997899,24.884963989257812,0.001
24,0.1037711758698736,23.794946670532227,0.001
25,0.09943057756338801,22.063282012939453,0.001
26,0.0983711592320885,21.748979568481445,0.001
27,0.1015599874779582,24.07404136657715,0.001
28,0.1037447136427675,22.623605728149414,0.001
29,0.10433930014925344,23.406005859375,0.001
30,0.09580270440450736,25.821950912475586,0.001
31,0.09974097247634615,23.079999923706055,0.001
32,0.10215587224811315,24.14934730529785,0.001
33,0.09923242899988378,21.97537612915039,0.001
34,0.0952109581125634,25.26491355895996,0.001
35,0.09469922757042305,22.44753074645996,0.001
36,0.09224805360926049,21.795940399169922,0.001
37,0.09530883274440255,26.023954391479492,0.001
38,0.09380737298301288,23.22739028930664,0.001
39,0.09120848657829421,22.312381744384766,0.001
40,0.09154845164822681,21.43964195251465,0.001
41,0.08991469168769461,24.53682518005371,0.001
42,0.09301563341702734,21.466270446777344,0.001
43,0.09054647322211946,21.766464233398438,0.001
44,0.08952137583068438,22.702213287353516,0.001
45,0.08869789761624165,23.15068244934082,0.001
46,0.0892336050846747,23.177433013916016,0.001
47,0.0888016101238983,25.068429946899414,0.001
48,0.08756292582090412,22.754318237304688,0.001
49,0.09102511501738003,23.422513961791992,0.001
50,0.0910669713148049,24.519309997558594,0.001
51,0.09017623053597552,22.58738136291504,0.001
52,0.08792514811669078,24.920642852783203,0.001
53,0.08822670517755406,22.882448196411133,0.001
54,0.08822944009942668,22.642215728759766,0.001
55,0.08638873249292374,22.20250701904297,0.001
56,0.08557830894631999,22.021825790405273,0.001
57,0.08618868945964746,21.112985610961914,0.001
58,0.08236105431403433,24.765426635742188,0.001
59,0.08349456896207162,21.01204490661621,0.001
60,0.08139155259621995,23.257652282714844,0.001
61,0.08084354054714953,27.01773452758789,0.001
62,0.0839475561731628,27.595354080200195,0.001
63,0.09205227363854647,25.550540924072266,0.001
64,0.08956976381263562,22.20499038696289,0.001
65,0.08289012477866241,21.894554138183594,0.001
66,0.08345338574477605,27.282819747924805,0.001
67,0.0857320027159793,24.067642211914062,0.001
68,0.08578046900885446,22.917509078979492,0.001
69,0.08495365668620382,23.400951385498047,0.001
70,0.09141873762543712,23.070465087890625,0.001
71,0.08528484702110291,21.33164405822754,0.001
72,0.0849446843777384,22.566808700561523,0.001
73,0.0947999896215541,23.950056076049805,0.001
74,0.09429712596216372,32.698246002197266,0.001
75,0.09420359259737389,27.03916358947754,0.001
76,0.09551082466329847,26.246646881103516,0.001
77,0.0984796635008284,23.8591365814209,0.001
78,0.09104009440967015,21.292163848876953,0.001
79,0.08438916988670826,22.20273208618164,0.001
80,0.08182228561490774,23.45135498046875,0.001
81,0.08273775210337979,21.214710235595703,0.001
82,0.08527076715337378,22.832401275634766,0.001
83,0.09138721813048635,23.923038482666016,0.001
84,0.08837073945573398,24.252119064331055,0.001
85,0.08635196068457195,22.68459129333496,0.001
86,0.08381724618375301,21.801748275756836,0.001
87,0.08151894908930574,21.398353576660156,0.001
88,0.08411627821624279,27.75374984741211,0.001
89,0.09362292175314256,25.899507522583008,0.001
90,0.09304868802428246,25.856496810913086,0.001
91,0.08830392964716469,22.510377883911133,0.001
92,0.09638185599552733,24.74941062927246,0.001
93,0.10708612187632492,22.705171585083008,0.001
94,0.09330625534057617,22.17583465576172,0.001
95,0.09577008110604115,25.16327476501465,0.001
96,0.08849562699241298,22.56241798400879,0.001
97,0.08722703331815344,21.612836837768555,0.001
98,0.08621518571994134,21.57696533203125,0.001
99,0.082151690444776,24.38370132446289,0.001
100,0.08203698553677116,28.857227325439453,0.001
